id,seed,target,model,rmse,r2,custom_str
243,b'W\xe9\x00\x00',Total Score,CatBoost,0.10565851533810897,0.7112552863749617,
244,b'W\xe9\x00\x00',Total Score,LightGBM,0.10708721533073938,0.7033937590174943,
245,b'W\xe9\x00\x00',Fluency,LightGBM,0.08798580200069477,0.8305485404427833,
246,b'W\xe9\x00\x00',Fluency,CatBoost,0.08804012760020152,0.8303392249887468,
247,b'W\xe9\x00\x00',Fluency,WeightedEnsemble_L2,0.089934431459123,0.8229597122039689,
248,b'W\xe9\x00\x00',Fluency,LinearModel,0.09358901685822164,0.8082789097269594,
249,b'W\xe9\x00\x00',Originality,WeightedEnsemble_L2,0.1737360497327683,0.38385319321470324,
250,b'W\xe9\x00\x00',Originality,CatBoost,0.17655855491715383,0.3636708069715311,
251,b'W\xe9\x00\x00',Originality,LinearModel,0.1766634110937982,0.3629147647696702,
252,b'W\xe9\x00\x00',Originality,LightGBM,0.1794884203144304,0.3423767071312884,
253,b'W\xe9\x00\x00',Flexibility,WeightedEnsemble_L2,0.12029948436472675,0.6842204204208435,
254,b'W\xe9\x00\x00',Flexibility,LinearModel,0.12091561964406133,0.6809774940706341,
255,b'W\xe9\x00\x00',Flexibility,CatBoost,0.12205326114393551,0.6749461710329518,
256,b'W\xe9\x00\x00',Flexibility,LightGBM,0.12480483192102244,0.6601249300475514,
257,b'\xeb\xf5\x00\x00',Total Score,WeightedEnsemble_L2,0.10336647519484968,0.6957116858653889,
258,b'\xeb\xf5\x00\x00',Total Score,LinearModel,0.10440872531742353,0.6895444362731391,
259,b'\xeb\xf5\x00\x00',Total Score,LightGBM,0.10545642637498251,0.6832825731270358,
260,b'\xeb\xf5\x00\x00',Total Score,CatBoost,0.10780212568280415,0.6690361888112969,
261,b'\xeb\xf5\x00\x00',Fluency,WeightedEnsemble_L2,0.09153211393942313,0.8059547242159579,
262,b'\xeb\xf5\x00\x00',Fluency,LinearModel,0.09424908968587233,0.7942639405884616,
263,b'\xeb\xf5\x00\x00',Fluency,CatBoost,0.0942818458118439,0.7941209092364095,
264,b'\xeb\xf5\x00\x00',Fluency,LightGBM,0.09497931480752161,0.7910635779913934,
265,b'\xeb\xf5\x00\x00',Originality,LinearModel,0.17831283731874562,0.30422662517202115,
266,b'\xeb\xf5\x00\x00',Originality,WeightedEnsemble_L2,0.18062294448450497,0.2860818552193135,
267,b'\xeb\xf5\x00\x00',Originality,CatBoost,0.1912034343524211,0.1999926779944351,
268,b'\xeb\xf5\x00\x00',Originality,LightGBM,0.19191970239212683,0.1939876292460977,
269,b'\xeb\xf5\x00\x00',Flexibility,WeightedEnsemble_L2,0.12013288079801504,0.6555205708045506,
270,b'\xeb\xf5\x00\x00',Flexibility,LinearModel,0.12030726367059269,0.6545197638437604,
271,b'\xeb\xf5\x00\x00',Flexibility,CatBoost,0.12192994569466616,0.6451373671902682,
272,b'\xeb\xf5\x00\x00',Flexibility,LightGBM,0.12666543560614604,0.6170379390929828,
273,b'\x9d\xfd\x00\x00',Total Score,WeightedEnsemble_L2,0.10747320033796624,0.7059189283432347,
274,b'\x9d\xfd\x00\x00',Total Score,LinearModel,0.1085952406142218,0.699746351658924,
275,b'\x9d\xfd\x00\x00',Total Score,CatBoost,0.10937019622994061,0.6954457306585131,
276,b'\x9d\xfd\x00\x00',Total Score,LightGBM,0.11048803348638007,0.68918841568992,
277,b'\x9d\xfd\x00\x00',Fluency,CatBoost,0.09774991145550374,0.8031242664070821,
278,b'\x9d\xfd\x00\x00',Fluency,WeightedEnsemble_L2,0.09929726834581883,0.7968419448652388,
279,b'\x9d\xfd\x00\x00',Fluency,LinearModel,0.10169233910835908,0.7869233215935691,
